,pax_number
0,0.0
1,0.0
2,531.0
3,0.0
4,609.0
5,610.0
6,0.0
7,0.0
8,0.0
9,0.0
10,584.0
11,610.0
12,169.0
13,610.0
14,47.0
15,0.0
16,0.0
17,305.0
18,0.0
19,178.0
20,0.0
21,61.0
22,0.0
23,122.0
24,549.0
25,0.0
26,0.0
27,0.0
28,610.0
29,0.0
30,610.0
31,0.0
32,0.0
33,549.0
34,0.0
35,61.0
36,32.0
37,118.0
38,599.0
39,610.0
40,610.0
41,55.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,610.0
50,420.0
51,0.0
52,610.0
53,0.0
54,0.0
55,46.0
56,587.0
57,0.0
58,610.0
59,0.0
60,0.0
61,183.0
62,0.0
63,0.0
64,0.0
65,602.0
66,549.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,610.0
73,610.0
74,549.0
75,0.0
76,0.0
77,0.0
78,122.0
79,55.0
80,0.0
81,0.0
82,610.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,488.0
90,0.0
91,610.0
92,0.0
93,0.0
94,0.0
95,610.0
96,0.0
97,0.0
98,0.0
99,610.0
100,0.0
101,610.0
102,0.0
103,0.0
104,580.0
105,0.0
106,0.0
107,0.0
108,0.0
109,167.0
110,0.0
111,603.0
112,0.0
113,0.0
114,0.0
115,183.0
116,366.0
117,0.0
118,0.0
119,0.0
120,56.0
121,122.0
122,610.0
123,488.0
124,549.0
125,0.0
126,610.0
127,0.0
128,0.0
129,122.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,608.0
142,549.0
143,610.0
144,0.0
145,0.0
146,0.0
147,583.0
148,610.0
149,60.0
150,610.0
151,0.0
152,61.0
153,0.0
154,0.0
155,610.0
156,366.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,610.0
168,0.0
169,0.0
170,0.0
171,122.0
172,474.0
173,0.0
174,39.0
175,0.0
176,0.0
177,0.0
178,0.0
179,610.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,610.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,610.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,608.0
201,593.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,305.0
210,0.0
211,610.0
212,122.0
213,549.0
214,0.0
215,0.0
216,0.0
217,366.0
218,0.0
219,366.0
220,597.0
221,0.0
222,0.0
223,610.0
224,0.0
