,index,aircraft_number,distances,doc,demand,active_arcs,distances01,mach,pax_num,fuel,time,DOC_nd,SAR,mach_tot_aircraft,total_fuel,total_CEMV,total_distance,total_pax,total_cost,total_time
0,0,0.0,354,3106,451.0,0,354,0.7886868686868687,80.0,975.8095163298127,161.09949859441323,8.774826096507368,2.7565240574288494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,242,2453,294.0,0,242,0.7010101010101009,80.0,691.6705832562832,147.57118555434045,10.138055221811005,2.858142906017699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,198,2209,252.0,0,198,0.6133333333333333,80.0,574.9448812603974,143.0165839654546,11.159188847401799,2.903762026567664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,768,5583,313.0,0,768,0.7949494949494949,75.0,1949.0602416102688,214.75917103936203,7.27013978431125,2.5378388562633707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0,591,4571,298.0,0,591,0.7949494949494949,80.0,1575.010932802002,192.13033169776253,7.7358229859344485,2.664993118108294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,8.0,517,4142,192.0,1,517,0.7824242424242422,80.0,1404.9827659853406,182.94022576143342,8.01348489987228,2.7175682127376026,6.259393939393938,11239.862127882725,0.6888978173350228,4136.0,640.0,33136.0,1463.5218060914674
6,6,0.0,587,4547,221.0,0,587,0.7949494949494949,80.0,1579.6388533437332,192.00967087883708,7.747780039668288,2.691037228864963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,6.0,335,3004,324.0,1,335,0.7824242424242422,80.0,942.2723668658745,158.54055267835645,8.96955530197199,2.8127533339279833,4.6945454545454535,5653.6342011952465,0.49918885197788554,2010.0,480.0,18024.0,951.2433160701387
8,8,10.0,154,1890,188.0,1,154,0.5945454545454545,80.0,467.2780825287391,136.74272364540158,12.278535323785551,3.0342732631736307,5.945454545454545,4672.780825287391,0.7712418460029634,1540.0,800.0,18900.0,1367.4272364540159
9,9,0.0,660,5050,200.0,0,660,0.7886868686868687,80.0,1781.3507748162415,201.57971185107718,7.651877903454144,2.6990163254791537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.0,1105,7035,105.0,0,1105,0.776161616161616,17.0,2132.1887472924273,262.0357920693379,6.3672706818537215,1.9295825767352284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,0.0,830,5817,152.0,0,830,0.7949494949494949,66.0,1980.8859876605025,222.34597400768814,7.008867025788599,2.3866096236873524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,0.0,1006,6522,256.0,0,1006,0.7886868686868687,34.0,2064.474133226413,245.56670723780948,6.484068647009388,2.052161166229039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0.0,855,5927,125.0,0,855,0.7949494949494949,61.0,2000.8637142480072,225.68779533046055,6.933156864623024,2.34019147865264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,9.0,187,2139,342.0,1,354,0.7824242424242422,80.0,974.1419936397477,161.35033786853,8.78417838991999,2.7518135413552196,7.04181818181818,8767.27794275773,0.7653653235725709,1683.0,720.0,19251.0,1452.15304081677
15,15,0.0,200,2226,469.0,0,187,0.6008080808080807,80.0,542.4101971755045,141.51160957315446,11.441945534959025,2.9005892897085803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,0.0,673,5178,398.0,0,200,0.6258585858585858,80.0,588.2698787428217,142.94693550105447,11.13468698039291,2.941349393714108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,0.0,620,4797,215.0,0,673,0.776161616161616,80.0,1827.8780788642898,204.48965498506786,7.694942325086771,2.716014976024205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,0.0,780,5676,254.0,0,620,0.7886868686868687,80.0,1679.490319622983,196.29439614717472,7.738417204906027,2.7088553542306175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,10.0,243,2460,505.0,1,780,0.7824242424242422,74.0,1961.0297866040362,217.47325215011423,7.2771622077398055,2.5141407520564565,7.8242424242424224,19610.29786604036,0.9307985286238729,2430.0,740.0,24600.0,2174.7325215011424
20,20,0.0,688,5231,227.0,0,243,0.7010101010101009,80.0,692.2402407803816,147.87038662043724,10.126197263727859,2.8487252707011588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,0.0,426,3573,322.0,0,688,0.7886868686868687,80.0,1855.5876294403736,205.32188777908934,7.604174676391091,2.6970750427912407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
